رمز الإجراء,وصف الإجراء
"1","يتطلب استيرادها وتصديرها موافقة نادي سباقات الخيل"
"2","يتطلب الموافقة المسبقة قبل الاستيراد من وزارة البيئة والمياه والزراعة وتقوم هيئة الزكاة والضريبة والجمارك بعرضها على الحجر النباتي والحيواني لاجازة فسحها من عدمه"
"3","تعرض على المختبرات الخاصة."
"4","إذا وردت هذه الكائنات حية تعرض على الحجر النباتي والحيواني ( وزارة الزراعة )، وإذا وردت خلاف ذلك تعرض على مختبر مراقبة الجودة والنوعية ( وزارة التجارة والصناعة ). (ملغي)"
"5","تعرض على الحجر الصحي ( وزارة الصحة ) (ملغي)"
"6","إذا كانت صالحة للأكل تعرض على مختبر مراقبة الجودة والنوعية ( وزارة التجارة والاستثمار) وإذا وردت خلاف ذلك ولم تدخل فيها أي عمليات تصنيع تعرض على الحجر النباتي والحيواني ( وزارة الزراعة ). (ملغي)"
"7","للبذار تعرض على الحجر النباتي والحيواني ( وزارة البيئة والمياه والزراعة )، أما اذا كانت صالحة للأكل تعرض الهيئة العامة للغذاء والدواء. (ملغي)"
"8","في حال استيرادها طازجة أو مبردة تعرض على الحجر النباتي والحيواني ( وزارة البيئة والمياه والزراعة ) واذا وردت خلاف ذلك تعرض على الهيئة العامة للغذاء والدواء"
"9","يتطلب استيرادها وتصديرها موافقة الهيئة العامة للامن الغذائي"
"10","يتطلب استيرادها الحصول على ترخيص من هيئة الغذاء والدواء والتأشير على الفواتير بذلك او ابراز شهادة مستقلة. (ملغي)"
"12","تعرض على مختبر الهيئة السعودية للمواصفات والمقاييس والجودة"
"13","يتطلب لاستيرادها وتصديرها موافقة وزارة الداخلية"
"14","تعرض على المختبر المركزي لتحليل الأدوية والأغذية. (ملغي)"
"15","تعرض عند الاستيراد على وزارة الاعلام"
"16","إذا وردت للأغراض الزراعية تعرض على الحجر النباتي والحيواني ( وزارة الزراعة) ، وإذا كانت للأغراض المنزلية تعرض على الهيئة العامة للغذاء والدواء"
"17","تستورد بموجب خطاب من قبل الجهات الحكومية المختصة."
"18","تعرض على البنك المركزي السعودي"
"19","يشترط أن تكون مصحوبة بشهادة تطهير من الخارج وإلا تعرض على الحجر الصحي. (ملغي)"
"20","الأصناف العسكرية منها تفسح بموجب خطاب رسمي من الجهة العسكرية المستفيدة وفي حال تم استيرادها للشركات والمؤسسات فيتطلب لفسحها موافقة الهيئة العليا للأمن الصناعي بوزارة الداخلية"
"21","يتطلب عند الاستيراد تقديم شهادة مطابقة من نظام سابر (الهيئة السعودية للمواصفات والمقاييس والجودة)"
"22","للأغراض الطبية والعلمية يتطلب موافقة الهيئة العامة للغذاء والدواء , أما للأغراض الخاصة بشركات ومؤسسات الصيانة والخدمات الفنية والمقاولات العامة يتطلب موافقة وزارة التجارة."
"23","ممنوع استيرادها لغير القطاعات العسكرية (يتطلب لاستيرادها موافقة الجهة العسكرية المستفيدة)."
"24","يتطلب فسح المواد الاولية (الكيميائية) من الجهات الحكومية ذات الاختصاص وذلك حسب نشاط الجهة المستوردة: وزارة الصناعة والثروة المعدنية للمصانع ووزارة التجارة للشركات والمؤسسات ووزارة الطاقة لمواد قطاع البترول ووزارة التعليم للمواد التعليمية ومدينة الملك عبدالعزيز للعلوم والتقنية لمواد الأبحاث والتطوير."
"25","يتطلب لاستيرادها موافقة هيئة الاتصالات وتقنية المعلومات (ملغى)"
"26","ممنوع استيرادها لغير القطاعات العسكرية , وإذا وردت للجهات الحكومية يتطلب موافقة هذه الجهة"
"27","موافقة الإدارة العامة للآثار بوزارة المعارف للاستيراد والتصدير. (ملغي)"
"28","يتطلب تصدير المواشي ( الأغنام ، الماعز ، الخيل ، الإبل ، البقر ) موافقة من وزارة البيئة والمياه والزراعة."
"29","يتطلب استيرادها وتصديرها موافقة مسبقة من المركز الوطني لتنمية الحياة الفطرية"
"31","ممنوع تصدير أعلاف الماشية وهي الشعير والذرة البيضاء والسودانية والأعلاف الخضراء والتبن وكذلك اعلاف الدواجن وهي الذرة الصفراء وفول الصويا وفى حالة الاستيراد تتم المصادقة وختم بيانات استيراد هذة الاصناف"
"32","ممنوع تصدير حليب الاطفال بديل الام بكافة أنواعه. (ملغي)"
"33","المشتقات البترولية يتطلب استيرادها أو تصديرها موافقة وزارة الطاقة."
"34","تصدير الادوية للمصانع الوطنية يتطلب إبراز مايثبت تسجيلها لدى هيئة الغذاء والدواء أو تسجيلها لدى الدولة المستوردة أو إحضار إذن استيراد من الجهات المختصة بالدولة المستوردة، وإعادة تصدير الأدوية يتطلب الحصول على موافقة من هيئة الغذاء والدواء، وخروج الادوية مع الأفراد يتطلب إحضار مستند رسمي من هيئة الغذاء والدواء يسمح لحاملها بإخراجها شريطة أن آلا تحمل شعار هيئة الغذاء والدواء. (ملغي)"
"35","يتطلب تصديرها موافقة وزارة الصناعة والثروة المعدنية."
"36","حظر تصدير الخضار التالية البطاطس ، البطيخ الحبحب ، البصل الجاف ، الشمام ، القرع اعتبارا من 1433/11/1هـ .(ملغي)"
"37","ممنوع تصدير اسطوانات الغاز الفارغة بمواصفات شركة الغاز والتصنيع الأهلية (غازكو gasco)، واسطوانات الغاز المعبأة بمواصفات شركة الغاز والتصنيع الأهلية (غازكو gasco) يشترط تصديرها إرفاق فاتورة من الشركة. السماح بخروج اسطوانات الغاز الجديدة الفارغة التي يقوم المصنع السعودي لاسطوانات السماح بخروج اسطوانات الغاز الجديدة الفارغة التي يقوم المصنع السعودي لاسطوانات الغاز (انا غاز) بإنتاجها مهما كان نوعها ومواصفاتها."
"38","يتطلب لتصديرها الحصول على موافقة صندوق التنمية الزراعية (ملغي)"
"39","يتطلب لتصديرها الحصول على موافقة صندوق التنمية الزراعية"
"40","ممنوع استيراد مادة الاسبستوس والسلع والمواد التي تحتوي على هذه المادة."
"41","ممنوع استيراد مادة برومات البوتاسيوم."
"42","يمنع تصدير مياه زمزم بموجب الأمر السامي الكريم إلا للحاج والمعتمر بواقع جالون واحد بسعة 5 لتر"
"43",""
"44","البطاقات الخاصة بأجهزة الاستقبال التلفزيوني يتطلب عرضهاعلى وزارة الثقافة والاعلام (ملغي)"
